0.000000000000000000e+00 2.097144283943802634e+01 2.293502599999999802e+03 2.316396459999999934e+03
3.000000000000000062e-03 2.090821903943802695e+01 2.293448100000000068e+03 2.316276150000000143e+03
6.000000000000000125e-03 2.071950903943802658e+01 2.293285400000000209e+03 2.315917039999999815e+03
8.999999999999999320e-03 2.040810993943802742e+01 2.293016869999999926e+03 2.315324329999999918e+03
1.200000000000000025e-02 1.997855043943802755e+01 2.292646270000000186e+03 2.314506400000000212e+03
1.499999999999999944e-02 1.943695543943802662e+01 2.292178690000000188e+03 2.313474549999999908e+03
1.799999999999999864e-02 1.879086823943802642e+01 2.291620350000000144e+03 2.312242690000000039e+03
2.100000000000000130e-02 1.804904033943802588e+01 2.290978470000000016e+03 2.310826939999999922e+03
2.400000000000000050e-02 1.722119813943802669e+01 2.290261039999999866e+03 2.309245199999999841e+03
2.699999999999999969e-02 1.631779943943802635e+01 2.289476639999999861e+03 2.307516709999999875e+03
2.999999999999999889e-02 1.534978733943802709e+01 2.288634219999999914e+03 2.305661590000000160e+03
3.300000000000000155e-02 1.432835223943802738e+01 2.287742889999999989e+03 2.303700400000000172e+03
3.599999999999999728e-02 1.326470753943802627e+01 2.286811769999999797e+03 2.301653749999999945e+03
3.899999999999999994e-02 1.216988733943802714e+01 2.285849790000000212e+03 2.299541909999999916e+03
4.200000000000000261e-02 1.105456703943802665e+01 2.284865549999999985e+03 2.297384480000000167e+03
4.499999999999999833e-02 9.928912249438026194e+00 2.283867229999999836e+03 2.295200139999999919e+03
4.800000000000000100e-02 8.804456349438027019e+00 2.282862619999999879e+03 2.293008100000000013e+03
5.399999999999999939e-02 6.587358049438027052e+00 2.280864309999999932e+03 2.288662859999999910e+03
5.999999999999999778e-02 4.461295649438026700e+00 2.278915489999999863e+03 2.284453910000000178e+03
6.600000000000000311e-02 2.473437599438026879e+00 2.277054050000000188e+03 2.280469230000000152e+03
7.199999999999999456e-02 6.578094654380266526e-01 2.275308050000000094e+03 2.276773630000000139e+03
7.799999999999999989e-02 -9.634435275619733785e-01 2.273697140000000218e+03 2.273411410000000160e+03
8.400000000000000522e-02 -2.378185790561972990e+00 2.272234269999999924e+03 2.270409909999999854e+03
8.999999999999999667e-02 -3.582145380561973180e+00 2.270927599999999984e+03 2.267783429999999953e+03
9.600000000000000200e-02 -4.525760450561973514e+00 2.269823040000000219e+03 2.265631620000000112e+03
1.079999999999999988e-01 -5.914421590561973474e+00 2.268026400000000194e+03 2.262266900000000078e+03
1.199999999999999956e-01 -6.552851060561972751e+00 2.266894859999999881e+03 2.260364459999999781e+03
1.320000000000000062e-01 -6.515219530561973116e+00 2.266423299999999927e+03 2.259844709999999850e+03
1.439999999999999891e-01 -5.883387480561973248e+00 2.266580869999999777e+03 2.260590529999999944e+03
1.559999999999999998e-01 -4.755518740561972990e+00 2.267298549999999977e+03 2.262427619999999933e+03
1.680000000000000104e-01 -3.256448620561973151e+00 2.268464199999999892e+03 2.265110760000000028e+03
1.799999999999999933e-01 -1.540602160561973299e+00 2.269929630000000088e+03 2.268329279999999926e+03
1.920000000000000040e-01 1.827378854380266870e-01 2.271519960000000083e+03 2.271693740000000162e+03
2.159999999999999976e-01 3.069742389438026908e+00 2.274421260000000075e+03 2.277593440000000101e+03
2.399999999999999911e-01 4.476275529438026979e+00 2.276313749999999800e+03 2.280997589999999946e+03
2.640000000000000124e-01 4.241462699438026895e+00 2.276894510000000082e+03 2.281414189999999962e+03
2.879999999999999782e-01 2.938681959438026681e+00 2.276403099999999995e+03 2.279638210000000072e+03
3.119999999999999996e-01 1.363459369438026592e+00 2.275331509999999980e+03 2.276960700000000088e+03
3.360000000000000209e-01 9.670926723802666936e-02 2.274165590000000066e+03 2.274470539999999801e+03
3.599999999999999867e-01 -6.168969615619733782e-01 2.273244900000000143e+03 2.272776879999999892e+03
3.840000000000000080e-01 -6.984301845619733662e-01 2.272811979999999949e+03 2.272221349999999802e+03
4.319999999999999951e-01 -2.461179325619733405e-01 2.272691179999999804e+03 2.272511809999999969e+03
4.799999999999999822e-01 1.987262414380266684e-01 2.273017429999999877e+03 2.273279219999999896e+03
5.280000000000000249e-01 1.675632464380266695e-01 2.273157090000000153e+03 2.273384280000000217e+03
5.759999999999999565e-01 1.139194134380266676e-01 2.273213139999999839e+03 2.273402459999999792e+03
6.239999999999999991e-01 2.225829494380266727e-01 2.273350039999999808e+03 2.273696780000000217e+03
6.720000000000000417e-01 2.827474844380266639e-01 2.273428820000000087e+03 2.273874920000000202e+03
7.199999999999999734e-01 1.490572594380266680e-01 2.273261410000000069e+03 2.273560080000000198e+03
7.680000000000000160e-01 -5.056100751973328228e-03 2.272990179999999782e+03 2.273090819999999894e+03
8.639999999999999902e-01 3.852822053802667374e-02 2.272957890000000134e+03 2.273089750000000095e+03
9.599999999999999645e-01 8.805305083802666966e-02 2.273092009999999846e+03 2.273296830000000227e+03
1.056000000000000050e+00 -3.803450661973328904e-03 2.272902840000000197e+03 2.272993660000000091e+03
1.151999999999999913e+00 3.431847173802667073e-02 2.272958399999999983e+03 2.273088159999999789e+03
1.247999999999999998e+00 2.604236143802667047e-02 2.272904849999999897e+03 2.273014700000000175e+03
1.344000000000000083e+00 3.849082563802667251e-02 2.272916540000000168e+03 2.273024069999999938e+03
1.439999999999999947e+00 3.907404363802667591e-02 2.272913689999999860e+03 2.273029599999999846e+03
1.536000000000000032e+00 4.463292403802667646e-02 2.272889149999999972e+03 2.272992240000000038e+03
1.727999999999999980e+00 6.754087793802666939e-02 2.272861750000000029e+03 2.272980649999999969e+03
