0.000000000000000000e+00 2.179350181713897427e+01 7.605925439999999981e+03 7.630669460000000072e+03
3.000000000000000062e-03 2.166379081713897392e+01 7.605815080000000307e+03 7.630423190000000432e+03
6.000000000000000125e-03 2.128033161713897670e+01 7.605488659999999982e+03 7.629694789999999557e+03
8.999999999999999320e-03 2.065942881713897350e+01 7.604959579999999733e+03 7.628514079999999922e+03
1.200000000000000025e-02 1.982630811713897501e+01 7.604248580000000402e+03 7.626927260000000388e+03
1.499999999999999944e-02 1.881279621713897399e+01 7.603381989999999860e+03 7.624992909999999938e+03
1.799999999999999864e-02 1.765479591713897634e+01 7.602389760000000024e+03 7.622777460000000247e+03
2.100000000000000130e-02 1.638989311713897479e+01 7.601303520000000390e+03 7.620350950000000012e+03
2.400000000000000050e-02 1.505531291713897524e+01 7.600154880000000048e+03 7.617783230000000003e+03
2.699999999999999969e-02 1.368631791713897528e+01 7.598974049999999806e+03 7.615140929999999571e+03
2.999999999999999889e-02 1.231505151713897561e+01 7.597788770000000113e+03 7.612485270000000128e+03
3.300000000000000155e-02 1.096977391713897454e+01 7.596623580000000402e+03 7.609870429999999942e+03
3.599999999999999728e-02 9.674415687138974818e+00 7.595499389999999948e+03 7.607342620000000352e+03
3.899999999999999994e-02 8.448374817138974535e+00 7.594433210000000145e+03 7.604939639999999599e+03
4.200000000000000261e-02 7.306500277138974653e+00 7.593438119999999799e+03 7.602690719999999601e+03
4.499999999999999833e-02 6.259224287138974496e+00 7.592523360000000139e+03 7.600616740000000391e+03
4.800000000000000100e-02 5.338664167138974292e+00 7.591716639999999643e+03 7.598779169999999795e+03
5.399999999999999939e-02 3.754050887138974613e+00 7.590322540000000117e+03 7.595586390000000392e+03
5.999999999999999778e-02 2.561039067138974890e+00 7.589263939999999820e+03 7.593135129999999663e+03
6.600000000000000311e-02 1.709828757138974753e+00 7.588498789999999644e+03 7.591337559999999939e+03
7.199999999999999456e-02 1.134020147138974810e+00 7.587970680000000357e+03 7.590072830000000067e+03
7.799999999999999989e-02 7.652211241389746954e-01 7.587621799999999894e+03 7.589215000000000146e+03
8.400000000000000522e-02 5.424879521389747161e-01 7.587401380000000245e+03 7.588651380000000245e+03
8.999999999999999667e-02 4.168038131389746881e-01 7.587269559999999728e+03 7.588291379999999663e+03
9.600000000000000200e-02 3.609040211389746844e-01 7.587208080000000336e+03 7.588091010000000097e+03
