0 2.18387241e+01  1.45235790e+03  1.47606438e+03
0.006 2.15955597e+01  1.45214972e+03  1.47560268e+03
0.012 2.08785851e+01  1.45153547e+03  1.47424071e+03
0.018 1.97236601e+01  1.45054428e+03  1.47204419e+03
0.024 1.81862942e+01  1.44922091e+03  1.46911454e+03
0.03 1.63364512e+01  1.44762152e+03  1.46557944e+03
0.036 1.42525470e+01  1.44580869e+03  1.46158188e+03
0.042 1.20154866e+01  1.44384665e+03  1.45726928e+03
0.048 9.70342495e+00  1.44179710e+03  1.45278409e+03
0.054 7.38769280e+00  1.43971607e+03  1.44825647e+03
0.06 5.13007649e+00  1.43765208e+03  1.44379956e+03
0.066 2.98142734e+00  1.43564529e+03  1.43950722e+03
0.072 9.81427060e-01  1.43372778e+03  1.43545392e+03
0.078 -8.40748996e-01  1.43192439e+03  1.43169618e+03
0.084 -2.46516048e+00  1.43025401e+03  1.42827506e+03
0.09 -3.87950470e+00  1.42873096e+03  1.42521913e+03
0.096 -5.02285390e+00  1.42740812e+03  1.42264641e+03
0.108 -6.76597589e+00  1.42519122e+03  1.41850106e+03
0.12 -7.65682487e+00  1.42369420e+03  1.41597531e+03
0.132 -7.73909708e+00  1.42294801e+03  1.41505710e+03
0.144 -7.08061374e+00  1.42295048e+03  1.41567297e+03
0.156 -5.78133749e+00  1.42365169e+03  1.41766659e+03
0.168 -3.98341494e+00  1.42494525e+03  1.42078144e+03
0.18 -1.87354148e+00  1.42667206e+03  1.42466349e+03
0.192 2.93415344e-01  1.42864527e+03  1.42886576e+03
0.216 3.98580450e+00  1.43240172e+03  1.43645271e+03
0.24 5.84142701e+00  1.43505054e+03  1.44109241e+03
0.264 5.57555239e+00  1.43605215e+03  1.44192745e+03
0.288 3.88395307e+00  1.43557445e+03  1.43979684e+03
0.312 1.78028737e+00  1.43415792e+03  1.43625245e+03
0.336 3.27746992e-02  1.43243113e+03  1.43271291e+03
0.36 -9.93495598e-01  1.43093334e+03  1.43011207e+03
0.384 -1.12992079e+00  1.43012207e+03  1.42909848e+03
0.432 -4.63799151e-01  1.42972705e+03  1.42927490e+03
0.48 2.58439543e-01  1.43030001e+03  1.43054244e+03
0.528 3.06395363e-01  1.43080514e+03  1.43112421e+03
0.576 2.91406002e-01  1.43112362e+03  1.43149482e+03
0.624 4.01532128e-01  1.43130266e+03  1.43185382e+03
0.672 3.62983761e-01  1.43117650e+03  1.43170521e+03
0.72 7.58485016e-02  1.43071145e+03  1.43090231e+03
0.768 -9.54174600e-02  1.43036514e+03  1.43033433e+03
0.864 9.99427802e-02  1.43057744e+03  1.43077232e+03
0.96 1.04874031e-01  1.43070888e+03  1.43093489e+03
1.056 -3.61369236e-02  1.43038635e+03  1.43043558e+03
1.152 5.34944869e-02  1.43051285e+03  1.43066343e+03
1.248 -8.77538342e-04  1.43044225e+03  1.43053093e+03
1.344 1.98108167e-02  1.43042811e+03  1.43053378e+03
1.44 2.71387548e-02  1.43044456e+03  1.43055699e+03
1.536 2.90112941e-02  1.43040233e+03  1.43050521e+03
1.728 4.86634306e-02  1.43038515e+03  1.43049421e+03
1.92 7.19723815e-02  1.43035679e+03  1.43047580e+03
2.112 8.72073535e-02  1.43035634e+03  1.43048097e+03
2.304 9.34870451e-02  1.43032274e+03  1.43044077e+03
2.496 1.01974102e-01  1.43031030e+03  1.43043779e+03
2.688 1.00434745e-01  1.43030394e+03  1.43042445e+03
2.88 1.01899443e-01  1.43029264e+03  1.43040840e+03
3.072 9.26103263e-02  1.43028292e+03  1.43038951e+03
3.456 7.79045526e-02  1.43027588e+03  1.43036941e+03
3.84 6.13206863e-02  1.43026921e+03  1.43034745e+03
4.224 5.28843882e-02  1.43025834e+03  1.43033397e+03
4.608 4.81514470e-02  1.43025571e+03  1.43032577e+03
4.992 4.68823618e-02  1.43023846e+03  1.43030736e+03
5.376 4.53604777e-02  1.43022664e+03  1.43028646e+03
5.76 4.15348203e-02  1.43021949e+03  1.43027574e+03
6.144 4.25779975e-02  1.43021043e+03  1.43026208e+03
6.912 3.80180791e-02  1.43019933e+03  1.43024723e+03
7.68 3.43418045e-02  1.43018626e+03  1.43023221e+03
8.448 2.97067543e-02  1.43017487e+03  1.43021241e+03
9.216 2.71074095e-02  1.43016721e+03  1.43020655e+03
9.984 2.59354491e-02  1.43017039e+03  1.43020370e+03
10.752 2.17174326e-02  1.43016179e+03  1.43019061e+03
11.52 2.07780349e-02  1.43016106e+03  1.43018778e+03
12.288 2.07140302e-02  1.43015060e+03  1.43017748e+03
13.824 1.68024517e-02  1.43014530e+03  1.43016730e+03
15.36 1.37262416e-02  1.43014197e+03  1.43015849e+03
16.896 1.25718099e-02  1.43014012e+03  1.43015600e+03
18.432 1.20209499e-02  1.43013795e+03  1.43015284e+03
19.968 1.04488183e-02  1.43013510e+03  1.43014733e+03
21.504 1.01176059e-02  1.43013493e+03  1.43014732e+03
23.04 9.26748335e-03  1.43013729e+03  1.43014875e+03
24.576 9.17051304e-03  1.43013466e+03  1.43014623e+03
27.648 6.93974723e-03  1.43013042e+03  1.43014090e+03
30.72 5.91014251e-03  1.43012982e+03  1.43013659e+03
33.792 4.61959691e-03  1.43013167e+03  1.43013754e+03
36.864 3.60408097e-03  1.43012873e+03  1.43013464e+03
39.936 3.18406219e-03  1.43012296e+03  1.43012599e+03
43.008 2.94285276e-03  1.43012631e+03  1.43012996e+03
46.08 2.89144203e-03  1.43012449e+03  1.43012693e+03
49.152 1.89058022e-03  1.43012419e+03  1.43012588e+03
