16.6667 0.187811 0.00898568
14.2857 0.154531 0.00179834
12.5 0.138276 0.0018898
11.1111 0.137285 0.00250014
10 0.144255 0.00341055
8.33333 0.152596 0.00182766
7.14286 0.158832 0.00141289
6.25 0.160802 0.00242678
5 0.16643 0.0014933
4 0.163389 0.0016756
3.33333 0.163185 0.00181184
2.5 0.150703 0.00202345
2 0.149852 0.00127159
1.66667 0.152708 0.00223032
1.42857 0.147607 0.00226646
1.25 0.152429 0.00188502
1.11111 0.149214 0.0016642
1 0.151362 0.00219332
0.666667 0.150568 0.00180944
0.5 0.150843 0.00221957
