0.001086 0.187811 0.00898568
0.003546 0.154531 0.00179834
0.007831 0.138276 0.0018898
0.014994 0.137285 0.00250014
0.02561 0.144255 0.00341055
0.054429 0.152596 0.00182766
0.088392 0.158832 0.00141289
0.124437 0.160802 0.00242678
0.202091 0.16643 0.0014933
0.280258 0.163389 0.0016756
0.336395 0.163185 0.00181184
0.409724 0.150703 0.00202345
0.454851 0.149852 0.00127159
0.482099 0.152708 0.00223032
0.499552 0.147607 0.00226646
0.513836 0.152429 0.00188502
0.521592 0.149214 0.0016642
0.529469 0.151362 0.00219332
0.545685 0.150568 0.00180944
0.551799 0.150843 0.00221957
