16.6667 0.158406 0.00898568
14.2857 0.130337 0.00179834
12.5 0.116627 0.0018898
11.1111 0.115791 0.00250014
10 0.12167 0.00341055
8.33333 0.128705 0.00182766
7.14286 0.133964 0.00141289
6.25 0.135626 0.00242678
5 0.140373 0.0014933
4 0.137808 0.0016756
3.33333 0.137636 0.00181184
2.5 0.127108 0.00202345
2 0.12639 0.00127159
1.66667 0.128799 0.00223032
1.42857 0.124497 0.00226646
1.25 0.128564 0.00188502
1.11111 0.125852 0.0016642
1 0.127664 0.00219332
0.666667 0.126994 0.00180944
0.5 0.127226 0.00221957
