16.6667 1.88053e-05 1.22895e-06
14.2857 7.43076e-05 2.88655e-06
12.5 0.000228228 1.3051e-05
11.1111 0.000538235 1.70959e-05
10 0.000995544 2.99695e-05
8.33333 0.00282219 9.42105e-05
7.14286 0.0058358 0.000113707
6.25 0.00932557 0.000234915
5 0.0190757 0.000241559
4 0.0308846 0.000676638
3.33333 0.0443645 0.000899024
2.5 0.066475 0.00109152
2 0.0867518 0.00124883
1.66667 0.103955 0.00162254
1.42857 0.11937 0.00274858
1.25 0.137802 0.00165841
1.11111 0.152444 0.00267257
1 0.166303 0.00453851
0.666667 0.241939 0.00295711
0.5 0.287372 0.00299804
